PRIMARY_NAICS_CODE,PRIMARY_NAICS_TITLE,GWht_TOTAL,Indirect Uses-Boiler Fuel,Conventional Boiler Use,CHP and/or Cogeneration Process,Direct Uses-Total Process,Process Heating,Process Cooling and Refrigeration,Machine Drive,Electro-Chemical Processes,Other Process Use,Direct Uses-Total Nonprocess,Facility HVAC (g),Facility Lighting,Other Facility Support,Onsite Transportation,Conventional Electricity Generation,Other Nonprocess Use
311111,Dog and Cat Food Manufacturing,258.6764925,151.0453645,74.16598736,76.87937714,85.01954648,79.14053529,0.90446326,1.808926521,0,3.165621412,22.61158151,14.9236438,0,7.235706084,0,0,0.45223163
311119,Other Animal Food Manufacturing,1024.005721,597.8880179,293.5712829,304.3167349,336.5635521,313.268663,3.592278505,7.160147618,0,12.54246303,89.55415107,59.07121785,0,28.64059047,0.02615292,0.010461168,1.805728657
311211,Flour Milling,104.9930649,61.24595454,33.24780389,27.99815065,40.24734156,38.49745714,0,0.874942208,0,0.874942208,3.499768831,2.624826623,0,0.874942208,0,0,0
311213,Malt Manufacturing,1023.996443,591.866911,321.2991802,270.5677307,388.9411129,372.0306298,0,8.455241586,0,8.455241586,33.82096634,25.36572476,0,8.455241586,0,0,0
311221,Wet Corn Milling,63206.8032,48205.37242,10738.28575,37467.08667,14213.99218,14213.99218,0,0,0,0,0,0,0,0,0,0,0
311222,Soybean Processing,13500.60724,9039.954921,3575.475003,5464.479918,4082.325669,3891.907493,0,84.59150306,0,105.8266729,359.6011821,253.7745092,0,84.59150306,0,21.23516982,0
311223,Other Oilseed Processing,233.8685383,133.7997666,72.63415901,61.16560759,87.92556091,84.10271044,0,1.911425237,0,1.911425237,7.645700949,5.734275712,0,1.911425237,0,0,0
311225,Fats and Oils Refining and Blending,1155.894491,789.8608329,303.0582987,486.8025342,335.193781,318.9554691,0,6.751749065,0,9.486562844,29.74181004,20.25524719,0,6.751749065,0,2.734813779,0
311230,Breakfast Cereal Manufacturing,1733.426448,1008.051261,545.2796905,462.7715703,660.0754149,631.3764838,0,14.34946554,0,14.34946554,57.39786216,43.04839662,0,14.34946554,0,0,0
311312,Cane Sugar Refining,7058.358958,2499.785494,576.2453613,1923.540133,609.3208693,609.3208693,0,0,0,0,0,0,0,0,0,0,0
311313,Beet Sugar Manufacturing,13575.32461,11031.2393,1305.529834,9725.709467,2342.005676,2342.005676,0,0,0,0,0,0,0,0,0,0,0
311330,Confectionery Manufacturing from Purchased Chocolate,207.8237217,121.3516137,59.58582229,61.7657914,68.30569873,63.58243233,0.726656369,1.453312739,0,2.543297293,18.16640924,11.9898301,0,5.813250956,0,0,0.363328185
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",5617.937811,3860.378655,1849.566855,2010.8118,1258.996066,1204.75794,0,0,0,54.23812578,498.5630904,433.9050062,0,54.23812578,10.41995836,0,0
311421,Fruit and Vegetable Canning,5139.30135,3467.544976,1776.216498,1691.328478,1201.574221,1149.332559,0,0,0,52.24166171,470.1821538,417.9332937,0,52.24166171,0.007198395,0,0
311422,Specialty Canning,1313.834764,886.6937765,459.5904337,427.1033428,307.0087609,293.6617814,0,0,0,13.34697946,120.1322262,106.7758357,0,13.34697946,0.009411089,0,0
311423,Dried and Dehydrated Food Manufacturing,1129.588119,760.6974978,391.8744686,368.8230292,265.0915523,253.5658326,0,0,0,11.52571966,103.7990693,92.20575731,0,11.52571966,0.067592374,0,0
311511,Fluid Milk Manufacturing,644.9022552,449.6828211,148.4543091,301.228512,157.1869155,139.7217026,0,8.732606415,0,8.732606415,38.03251865,26.19781925,0,8.732606415,3.102092984,0,0
311513,Cheese Manufacturing,2818.020238,1869.35482,805.2475777,1064.107243,760.0544847,675.6039864,0,42.22524915,0,42.22524915,168.9009966,126.6757475,0,42.22524915,0,0,0
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",2219.123725,1443.689945,597.9134105,845.7765343,633.0847876,562.7420334,0,35.17137709,0,35.17137709,142.3489926,105.5141313,0,35.17137709,1.663484237,0,0
311611,Animal (except Poultry) Slaughtering,6833.574869,4681.494498,2255.10792,2426.386579,1399.966575,1250.034461,49.97737148,49.97737148,0,49.97737148,752.1137954,449.7963434,0,299.8642289,2.45322318,0,0
311612,Meat Processed from Carcasses,614.5951133,402.9368139,217.6371602,185.2996537,135.4186775,120.9095334,4.836381338,4.836381338,0,4.836381338,76.23962194,43.52743204,0,29.01828803,3.693901871,0,0
311613,Rendering and Meat Byproduct Processing,5985.701666,3905.38599,2100.169924,1805.216065,1306.795789,1167.235515,46.52009146,46.52009146,0,46.52009146,723.4181574,418.6808232,0,279.1205488,25.61678548,0,0
311615,Poultry Processing,3123.216001,2077.391698,1126.79934,950.5923585,685.9307506,614.8493627,23.69379595,23.69379595,0,23.69379595,359.8935521,213.2441636,0,142.1627757,4.486612737,0,0
311711,Seafood Canning,167.1184093,70.69922932,5.671716473,65.02751285,39.7020153,13.2340051,13.2340051,0,0,13.2340051,56.71716473,0,0,0,28.35858236,11.34343295,17.01514942
311712,Fresh and Frozen Seafood Processing,208.2354852,37.60555113,10.03705495,27.56849619,70.25938463,23.41979488,23.41979488,0,0,23.41979488,100.3705495,0,0,0,50.18527474,20.0741099,30.11116484
311821,Cookie and Cracker Manufacturing,134.5106272,78.5429187,38.56598403,39.97693467,44.20978657,41.15272686,0.470316878,0.940633757,0,1.646109074,11.75792196,7.760228494,0,3.762535027,0,0,0.235158439
311911,Roasted Nuts and Peanut Butter Manufacturing,144.2329029,84.21991181,41.35348963,42.86642218,47.40521982,44.1271993,0.504310849,1.008621698,0,1.765087972,12.60777123,8.321129011,0,4.034486793,0,0,0.252155425
311919,Other Snack Food Manufacturing,1385.947068,846.0917355,379.7374904,466.3542451,428.3399339,398.8722005,4.437901171,8.86100877,0,16.16882349,111.5153985,73.10332235,0,35.44403508,0.082277243,0.661001454,2.224762345
311920,Coffee and Tea Manufacturing,654.0617812,382.3426099,177.3848335,204.9577764,208.7251764,190.4467386,4.297178308,4.304036076,0,9.677223403,62.99399497,35.50829763,0,17.2161443,4.596772008,1.838708803,3.834072224
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",136.9630135,79.97490651,39.26911577,40.70579074,45.01581564,41.90301988,0.478891656,0.957783311,0,1.676120795,11.97229139,7.901712319,0,3.831133246,0,0,0.239445828
311942,Spice and Extract Manufacturing,2730.558311,1905.655654,633.9365604,1271.719094,667.9075123,622.9571589,6.110236935,12.08779403,0,26.75232242,156.9140823,99.72430074,0,48.35117612,0.142156972,5.589205742,3.107242691
311991,Perishable Prepared Food Manufacturing,195.1177094,113.9323688,55.94283975,57.98952901,64.12959678,59.69510339,0.682229753,1.364459506,0,2.387804136,17.05574383,11.25679092,0,5.457838024,0,0,0.341114877
